NAME,F1,F2,F3,F4
data/Example.wav0,597.52205636071,1613.6158542244,2511.8207414722,3755.143862857
data/Example.wav1,695.08482750264,1702.1705684883,2596.4426549314,3798.3721204285
data/Example.wav2,726.79075775361,1730.6155823382,2529.5340046066,3807.3841604938
data/Example.wav3,671.77746831661,1823.1958252786,2642.5386648599,3921.9318499606
data/Example.wav4,577.26898654165,1658.9370191395,2507.1801603141,3614.015645664
data/Example.wav5,550.50715392893,1354.6163587701,2112.3328273719,2942.3879848356
data/Example.wav6,670.04807856114,1721.7454434941,2504.7078255405,3639.9429897453
data/Example.wav7,684.92226543433,1890.11653405,2607.1436582297,3881.6624957168
data/Example.wav8,686.58011927018,2006.1528528273,2669.136794332,3930.0540658697
data/Example.wav9,704.61661584064,2082.8734605879,2725.6507811414,3979.9081375397
data/Example.wav10,718.3459924972,2129.5719038273,2778.9886141533,3911.4009273122
data/Example.wav11,738.12105521421,2196.3920645772,2830.6140869643,3945.1600862979
data/Example.wav12,747.04237958363,2237.857111512,2865.114569012,3983.2438265921
data/Example.wav13,757.52187939247,2262.8834603211,2894.0268124866,4032.0698165223
data/Example.wav14,794.56203977908,2292.924977565,2904.0583637964,4064.9564797605
data/Example.wav15,790.79379929141,2305.3923274434,2914.8010821133,4102.8657877773
data/Example.wav16,754.20150106718,2296.2740525424,2918.650672556,4093.5949811472
data/Example.wav17,753.61340981318,2305.5901115967,2941.4827047573,4114.9736665586
data/Example.wav18,751.33217844595,2303.9278506141,2963.7034547421,4080.8958849144
data/Example.wav19,751.74864356987,2294.1665110734,2969.1707952984,4052.0389177847
data/Example.wav20,752.20386983045,2263.360928939,2960.7171490262,4032.3822129235
data/Example.wav21,770.17884730729,2258.3641078018,2947.7116667208,4020.9925609398
data/Example.wav22,781.7230857348,2275.7713813756,2968.5430426945,4073.3883961899
data/Example.wav23,767.10101641372,2285.7353068103,2991.4783499063,4105.5821043231
data/Example.wav24,713.05004776835,2258.4466622408,2990.0470612205,4115.3480667138
data/Example.wav25,611.79691159802,2167.9040513677,2922.8273834669,3995.5696489606
data/Example.wav26,464.79195727922,2216.9362577286,2902.6784093165,3787.1025861146
data/Example.wav27,392.65077113871,2241.0841422316,2882.2942732317,3729.1096892991
data/Example.wav28,356.80948188144,2247.3252814783,2868.0793960479,3702.85889514
data/Example.wav29,336.96760630695,2249.0793730065,2856.165116382,3688.9095833419
data/Example.wav30,326.31161063736,2247.0009123382,2847.4161837995,3678.3972196499
data/Example.wav31,317.02538671669,2246.1384208479,2837.0718363871,3668.4669414712
data/Example.wav32,316.79590213256,2238.2378290309,2824.675433218,3658.6578641634
data/Example.wav33,311.81558256897,2233.9675939463,2811.5328461934,3650.0890246383
data/Example.wav34,309.75658873589,2222.1953328712,2790.414286183,3637.4951211236
data/Example.wav35,303.11815270395,2197.837832488,2759.3459429585,3621.4648678692
data/Example.wav36,300.07733753179,2139.6720086125,2716.2863038275,3597.1401005012
data/Example.wav37,297.80684309916,2029.1431684543,2666.506971908,3593.0227136771
data/Example.wav38,302.76639448877,1883.6034781282,2632.7940494669,3566.5751191196
data/Example.wav39,310.58781561633,1695.7082764436,2601.236230247,3578.9904841841
data/Example.wav40,329.36087833006,1506.8002810867,2566.4763395573,3574.0245757702
data/Example.wav41,333.62735468157,1334.9294797493,2537.2709143742,3615.8915465541
data/Example.wav42,343.92509580352,1257.8475447212,2548.6391645686,3608.75316255
data/Example.wav43,355.72406722302,1266.9464255723,2555.7646922429,3563.6349375376
data/Example.wav44,353.36002227912,1295.7353654834,2541.8089215844,3537.0767119231
data/Example.wav45,360.10719257032,1333.1444398036,2550.7373711499,3524.8237095514
data/Example.wav46,358.56551390636,1421.9067718274,2569.8296019189,3551.4845659541
data/Example.wav47,357.7658626418,1508.5753241142,2581.5213799446,3571.1147640796
data/Example.wav48,361.02201738658,1578.8813353883,2595.1476462419,3581.7117300803
data/Example.wav49,359.07647261526,1644.8610858295,2608.8152577977,3585.0416718124
data/Example.wav50,352.62197368139,1695.4766404854,2607.0439590014,3594.1620970682
data/Example.wav51,363.93985762272,1711.5049267995,2624.5559391621,3569.9536993494
data/Example.wav52,282.14833174003,1635.5232697946,2662.5378306096,3673.038216977
data/Example.wav53,238.01927224549,1685.1430481144,2681.7908743028,3747.4353341452
data/Example.wav54,270.38935671368,1674.0988530661,2620.5867941348,3813.3456431972
data/Example.wav55,287.42503107387,1656.0376999441,2548.1691326839,3885.879845647
data/Example.wav56,297.51074742804,1646.5531864195,2490.0822032756,4001.8682893871
data/Example.wav57,269.08363720329,1655.077611937,2533.8532734755,4098.6280127011
data/Example.wav58,291.6834088795,1563.9680597391,2514.3394585881,4068.4743370009
data/Example.wav59,373.26599306681,1470.057578843,2536.146844644,3887.3002475452
data/Example.wav60,464.84081251292,1476.0974644958,2596.3427561472,3802.4466328158
data/Example.wav61,532.78873151717,1503.9005634588,2676.920756276,3773.1439610296
data/Example.wav62,576.16856668281,1521.9443155695,2715.5888347783,3795.4597465694
data/Example.wav63,612.95424052349,1510.2099246035,2711.3500684311,3787.8224139732
data/Example.wav64,629.38665281266,1492.002887321,2758.1076647479,3813.3658160404
data/Example.wav65,632.21797579559,1503.6043597111,2728.8633162529,3829.6718897114
data/Example.wav66,628.76474066855,1399.3770937252,2727.1828020145,3732.1041409267
data/Example.wav67,636.82813450115,1382.5499430092,2700.6483462805,3741.2426011064
data/Example.wav68,644.06414435002,1402.8814305584,2678.6483434629,3763.5815778003
data/Example.wav69,665.04142466218,1455.4039916695,2678.1631569074,3749.7185747455
data/Example.wav70,663.02640095471,1495.5855143704,2605.103052862,3906.3058331572
data/Example.wav71,666.87902361843,1492.3670177807,2548.1212917739,3984.9389351581
data/Example.wav72,565.20829441295,1576.2356767476,2632.6168249915,4071.170193994
data/Example.wav73,515.69670736895,1637.7511411004,2663.9499991919,4089.5872986757
data/Example.wav74,503.97091344305,1665.6195401257,2674.2587140449,4094.0315967408
data/Example.wav75,425.49895704938,1766.4650539554,2696.6245884735,4260.4823733508
data/Example.wav76,373.34256785695,1823.0120466465,2680.0327994776,4323.569162093
data/Example.wav77,352.98179231673,1867.7963454239,2662.6606669147,4338.386950611
